time,/Bed-1.In.MoleFlow,/Bed-1.In.P,/Bed-1.In.MoleFlows.HYDROGEN_SULFIDE,/Bed-1.Out.T,/Bed-1.Out.MoleFlow,/Bed-2.In.MoleFlow,/Bed-2.In.MoleFlows.HYDROGEN_SULFIDE,/CRF1.In.MoleFlow,/CRF1.In.T,/CRF1.In.P,/Tail_Gas.In.MoleFlow,/Sep1.In.P,/Sep2.In.P,/Sep3.In.P,/Tail_Gas.In.T
s,kmol/h,kPa,kmol/h,C,kmol/h,kmol/h,kmol/h,kmol/h,C,kPa,kmol/h,kPa,kPa,kPa,C
80,2110.46542,290.6406501,197.9618462,410.1349438,2074.990677,2039.780367,236.4759722,2039.250156,33.98120742,296.2721694,2023.429529,349.9583767,319.868806,296.2721694,159
81,2114.311919,290.8677685,198.3226481,410.1349438,2077.820495,2039.573578,236.4519988,2032.444958,33.94384572,296.3954308,2022.801571,349.9035384,319.7826701,296.3954308,159
82,2116.724628,291.1079382,198.5489604,410.1349438,2080.106597,2040.620223,236.5733384,2027.166005,33.94828108,296.6042667,2023.671806,349.892755,319.7838762,296.6042667,159
83,2118.317055,291.3100652,198.6983302,410.1349438,2081.714385,2041.925626,236.7246765,2024.087398,33.97516123,296.7935076,2024.934073,349.9354778,319.8396017,296.7935076,159
84,2119.5345,291.481545,198.8125267,410.1349438,2082.964284,2043.185797,236.8707708,2022.293324,34.00068874,296.9594908,2026.197518,350.0070003,319.9260799,296.9594908,159
85,2120.463817,291.5777087,198.8409176,410.1547106,2083.7932,2044.163014,236.9113025,2022.524595,34.01919905,297.0529969,2027.177877,350.0816532,320.012483,297.0529969,159
86,2120.671244,291.6340796,198.8603685,410.1547106,2084.070477,2044.786816,236.983599,2023.121207,34.02937331,297.1145794,2027.885529,350.1516163,320.0895034,297.1145794,159
87,2120.489769,291.6364929,198.8433511,410.1547106,2083.963793,2045.029067,237.011675,2024.412185,34.0336743,297.1274469,2028.17455,350.2036987,320.1458205,297.1274469,159
88,2118.733972,291.4683307,198.6787059,410.1547106,2082.42058,2044.3128,236.9286622,2028.051874,34.03202593,296.9914924,2027.559644,350.2017866,320.1446376,296.9914924,159
89,2112.616687,290.8676353,198.1579626,410.1395267,2077.019341,2041.431871,236.6515628,2038.085725,33.98140394,296.4858635,2025.021227,350.0897847,320.0228412,296.4858635,159
