StripChart:,DataLogger1,,,
Date:, Fri Sep 11 17:31:47 2020,,,
,,,,
Number of Data Variables =,4,,,
Max Number of Data Points =,30000,,,
Number of Data Points =,3617,,,
Time Interval,0, to ,964.4,
,,,,
 ----- , ----- , ----- , ----- , ----- 
Time,PIC-118 - PV,PIC-118 - OP,SPRDSHT-1 - Cell Matrix (G-16),UIC-101 - OP
[seconds],[kPa],[%],[],[%]
63.4,294.769,42,37.6105,10
63.7,294.769,42,37.6105,10
64,294.769,42,37.6105,10
64.3,294.769,42,37.6105,10
64.6,294.769,42,37.6105,10
64.9,294.769,42,37.6105,10
65.2,294.769,42,37.6105,10
65.5,294.769,42,37.6105,10
65.8,294.769,42,37.6105,10
66.1,294.769,42,37.6105,10
66.4,294.769,42,37.6105,10
66.7,294.769,42,37.6105,10
67,294.769,42,37.6105,10
67.3,294.769,42,37.6105,10
67.6,294.769,42,37.6105,10
67.9,294.769,42,37.6105,10
68.2,294.769,42,37.6105,10
68.5,294.769,42,37.6105,10
68.8,294.769,42,37.6105,10
69.1,294.769,42,37.6105,10
69.4,294.769,42,37.6105,10
69.7,294.769,42,37.6105,10
70,294.769,42,37.6105,10
70.3,294.769,42,37.6105,10
70.6,294.769,42,37.6105,10
70.9,294.769,42,37.6105,10
71.2,294.769,42,37.6105,10
71.5,294.769,42,37.6105,10
71.8,294.769,42,37.6105,10
72.1,294.769,42,37.6105,10
72.4,294.769,42,37.6105,10
72.7,294.769,42,37.6105,10
73,294.769,42,37.6105,10
73.3,294.769,42,37.6105,10
73.6,294.769,42,37.6105,10
73.9,294.769,42,37.6105,10
74.2,294.769,42,37.6105,10
74.5,294.769,42,37.6105,10
74.8,294.769,42,37.6105,10
75.1,294.769,42,37.6105,10
75.4,294.769,42,37.6105,10
75.6,294.769,42,37.6105,10
75.8,294.769,42,37.6105,10
76,294.769,42,37.6105,10
76.2,294.769,42,37.6105,10
76.4,294.769,42,37.6105,10
76.6,294.769,42,37.6105,10
76.8,294.769,42,37.6105,10
77,294.769,42,37.6105,10
77.2,294.769,42,37.6105,10
77.4,294.769,42,37.6105,10
77.6,294.769,42,37.6105,10
77.8,294.769,42,37.6105,10
78,294.769,42,37.6105,10
78.2,294.769,42,37.6105,10
78.4,294.769,42,37.6105,10
78.6,294.769,42,37.6105,10
78.8,294.769,42,37.6105,10
79,294.769,42,37.6105,10
79.2,294.769,42,37.6105,10
79.4,294.769,42,37.6105,10
79.6,294.769,42,37.6105,10
79.8,294.769,42,37.6105,10
80,294.769,42,37.6105,10
80.2,294.769,42,37.6105,10
80.4,294.769,42,37.6105,10
80.6,294.769,42,37.6105,10
80.8,294.769,42,37.6105,10
81,294.769,42,37.6105,10
81.2,294.769,42,37.6105,10
81.4,294.769,42,37.6105,10
81.6,294.769,42,37.6105,10
81.8,294.769,42,37.6105,10
82,294.769,42,37.6105,10
82.2,294.769,42,37.6105,10
82.4,294.769,42,37.6105,10
82.6,294.769,42,37.6105,10
82.8,294.769,42,37.6105,10
83,294.769,42,37.6105,10
83.2,294.769,42,37.6105,10
83.4,294.769,42,37.6105,10
83.6,294.769,42,37.6105,10
83.8,294.769,42,37.6105,10
84,294.769,42,37.6105,10
84.2,294.769,42,37.6105,10
84.4,294.769,42,37.6105,10
84.6,294.769,42,37.6105,10
84.8,294.769,42,37.6105,10
85,294.769,42,37.6105,10
85.2,294.769,42,37.6105,10
85.4,294.769,42,37.6105,10
85.6,294.769,42,37.6105,10
85.8,294.769,42,37.6105,10
86,294.769,42,37.6105,10
86.2,294.769,42,37.6105,10
86.4,294.769,42,37.6105,10
86.6,294.769,42,37.6105,10
86.8,294.769,42,37.6105,10
87,294.769,42,37.6105,10
87.2,294.769,42,37.6105,10
87.4,294.769,42,37.6105,10
87.6,294.769,42,37.6105,10
87.8,294.769,42,37.6105,10
88,294.769,42,37.6105,10
88.2,294.769,42,37.6105,10
88.4,294.769,42,37.6105,10
88.6,294.769,42,37.6105,10
88.8,294.769,42,37.6105,10
89,294.769,42,37.6105,10
89.2,294.769,42,37.6105,10
89.4,294.769,42,37.6105,10
89.6,294.769,42,37.6105,10
89.8,294.769,42,37.6105,10
90,294.769,42,37.6105,10
90.2,294.769,42,37.6105,10
90.4,294.769,42,37.6105,10
90.6,294.769,42,37.6105,10
90.8,294.769,42,37.6105,10
91,294.769,42,37.6105,10
91.2,294.769,42,37.6105,10
91.4,294.769,42,37.6105,10
91.6,294.769,42,37.6105,10
91.8,294.769,42,37.6105,10
92,294.769,42,37.6105,10
92.2,294.769,42,37.6105,10
92.4,294.769,42,37.6105,10
92.6,294.769,42,37.6105,10
92.8,294.769,42,37.6105,10
93,294.769,42,37.6105,10
93.2,294.769,42,37.6105,10
93.4,294.769,42,37.6105,10
93.6,294.769,42,37.6105,10
93.8,294.769,42,37.6105,10
94,294.769,42,37.6105,10
94.2,294.769,42,37.6105,10
94.4,294.769,42,37.6105,10
94.6,294.769,42,37.6105,10
94.8,294.769,42,37.6105,10
95,294.769,42,37.6105,10
95.2,294.769,42,37.6105,10
95.4,294.769,42,37.6105,10
95.6,294.769,42,37.6105,10
95.8,294.769,42,37.6105,10
96,294.769,42,37.6105,10
96.2,294.769,42,37.6105,10
96.4,294.769,42,37.6105,10
96.6,294.769,42,37.6105,10
96.8,294.769,42,37.6105,10
97,294.769,42,37.6105,10
97.2,294.769,42,37.6105,10
97.4,294.769,42,37.6105,10
97.6,294.769,42,37.6105,10
97.8,294.769,42,37.6105,10
98,294.769,42,37.6105,10
98.2,294.769,42,37.6105,10
98.4,294.769,42,37.6105,10
98.6,294.769,42,37.6105,10
98.8,294.769,42,37.6105,10
99,294.769,42,37.6105,10
99.2,294.769,42,37.6105,10
99.4,294.769,42,37.6105,10
99.6,294.769,42,37.6105,10
99.8,294.769,42,37.6105,10
100,294.769,42,37.6105,10
